player_name,Unnamed: 0,age,player_height,player_weight,gp,pts_media_carrera,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,pts_22_23
Patrick Beverley,9658.1,28.5,185.42,84.368112,52.6,8.97,4.14,3.3600000000000003,6.2,0.0451,0.11489999999999997,0.1514,0.5474,0.18,6.2
Patrick Williams,11800.0,19.5,200.66,97.52228,44.0,9.1,4.35,1.15,-6.3,0.036500000000000005,0.1315,0.14250000000000002,0.5995,0.0595,10.2
Patty Mills,8922.384615384615,27.0,183.27076923076922,83.21668615384615,63.07692307692308,8.638461538461538,1.5692307692307692,2.1384615384615384,2.753846153846154,0.018230769230769214,0.06884615384615385,0.2121538461538461,0.5567692307692307,0.18123076923076922,6.2
Paul George,9181.083333333334,26.5,204.47,99.26104933333333,61.416666666666664,19.466666666666665,6.175,3.4749999999999996,5.741666666666667,0.028583333333333336,0.17208333333333334,0.2710833333333333,0.5580833333333334,0.17591666666666664,23.8
Paul Reed,11800.5,22.5,205.74,95.25432,32.0,3.25,2.3499999999999996,0.45,2.4999999999999996,0.14199999999999996,0.16799999999999993,0.1795,0.554,0.094,4.2
Payton Pritchard,11800.0,23.5,185.42,88.45044,68.5,6.95,2.15,1.9,1.4000000000000001,0.028,0.096,0.17099999999999999,0.5800000000000001,0.179,5.6
Precious Achiuwa,11800.5,21.5,203.2,102.0582,67.0,7.05,4.95,0.8,-2.6500000000000004,0.08599999999999995,0.181,0.182,0.5265,0.068,9.2
Quentin Grimes,12087.0,22.0,193.04,95.25432,46.0,6.0,2.0,1.0,-3.0,0.0279999999999999,0.085,0.149,0.565,0.095,11.3
R.J. Hampton,11800.5,20.5,193.04,79.3786,57.5,7.25,3.25,2.1,-14.35,0.0225,0.14100000000000001,0.1855,0.494,0.16699999999999998,6.4
RJ Barrett,11573.333333333334,21.0,198.12,97.068688,66.0,17.3,5.533333333333334,2.8666666666666667,-3.233333333333333,0.026333333333333334,0.13333333333333333,0.24333333333333332,0.5083333333333333,0.13566666666666669,19.6
Raul Neto,10434.285714285714,27.0,185.78285714285715,81.38736457142856,55.285714285714285,5.642857142857143,1.5142857142857142,2.0714285714285716,6.142857142857143,0.014428571428571372,0.08514285714285715,0.17085714285714285,0.5492857142857143,0.19971428571428573,3.3
Reggie Bullock,9899.333333333334,27.0,199.81333333333333,92.98636,48.22222222222222,6.955555555555556,2.3333333333333335,1.0777777777777777,-0.24444444444444446,0.018333333333333323,0.10955555555555553,0.13822222222222222,0.5434444444444444,0.07433333333333333,7.2
Reggie Jackson,9403.90909090909,27.0,190.0381818181818,94.347136,63.90909090909091,12.609090909090908,2.909090909090909,4.209090909090909,2.409090909090909,0.022454545454545453,0.10245454545454545,0.2377272727272727,0.5161818181818182,0.26599999999999996,10.2
Richaun Holmes,10429.857142857143,25.0,208.28,107.89009714285714,53.714285714285715,9.571428571428571,5.8,1.0857142857142856,-3.057142857142857,0.0884285714285714,0.17985714285714285,0.1682857142857143,0.6351428571428571,0.0797142857142857,3.1
Ricky Rubio,9401.363636363636,26.0,192.11636363636362,85.3990029090909,60.45454545454545,11.163636363636364,4.254545454545454,7.627272727272728,1.9727272727272727,0.021818181818181792,0.12718181818181817,0.19427272727272724,0.505909090909091,0.363,5.2
Robert Covington,9897.111111111111,27.0,204.04666666666668,97.62307822222222,59.666666666666664,10.755555555555555,5.300000000000001,1.3333333333333333,3.3222222222222224,0.03422222222222222,0.15666666666666662,0.17366666666666666,0.5587777777777778,0.06477777777777777,6.0
